,Customer ID,Gender,Age,Married,Number of Dependents,City,Population,Satisfaction Score,Quarter,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
0,0650-BWOZN,Male,37.0,nan,0.0,nan,nan,1.0,Q3,0.0,35.0,None,Yes,nan,No,Yes,Fiber Optic,16.0,No,nan,Yes,No,Yes,nan,No,Yes,One Year,Yes,Bank Withdrawal,85.15,3030.6,0.0,0.0,892.85,3923.45,1
1,0562-FGDCR,nan,54.0,No,0.0,Rosamond,14931,1.0,Q3,0.0,1.0,Offer E,nan,0.0,nan,nan,Cable,29.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,nan,35.9,35.9,0.0,0.0,0.0,35.9,1
2,6688-UZPWD,Male,nan,nan,nan,Huntington Beach,32304,nan,Q3,4.0,35.0,Offer C,Yes,41.02,No,No,None,nan,No,No,No,No,nan,No,No,No,One Year,nan,Bank Withdrawal,20.05,746.75,nan,0.0,1435.7,2182.45,0
3,2905-KFQUV,Male,23.0,No,0.0,San Jose,37570,3.0,Q3,0.0,7.0,Offer E,Yes,21.58,No,nan,Fiber Optic,71.0,No,No,Yes,nan,nan,nan,Yes,No,Month-to-Month,nan,nan,74.65,544.55,0.0,10.0,nan,705.6099999999999,1
4,9720-JJJOR,Female,41.0,Yes,0.0,Calpine,322,nan,Q3,8.0,68.0,nan,Yes,17.12,Yes,No,None,0.0,No,No,No,nan,No,No,No,No,Two Year,No,Credit Card,25.8,1911.5,0.0,nan,1164.16,3075.66,0
5,5236-PERKL,nan,22.0,No,0.0,nan,nan,nan,nan,0.0,2.0,nan,Yes,nan,nan,Yes,Cable,27.0,No,No,nan,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,181.5,0.0,0.0,80.86,262.36,1
6,0394-YONDK,nan,nan,nan,nan,Walnut,45118,3.0,Q3,0.0,1.0,Offer E,Yes,32.73,Yes,No,None,0.0,No,No,No,No,No,No,No,No,nan,No,nan,25.4,25.4,nan,0.0,nan,58.13,nan
7,0396-HUJBP,Female,37.0,Yes,0.0,nan,nan,nan,Q3,2.0,9.0,None,Yes,42.39,No,Yes,Cable,nan,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0.0,nan,974.81,nan
8,8200-LGKSR,Male,33.0,No,0.0,Los Angeles,47107,3.0,nan,0.0,36.0,Offer C,Yes,8.5,No,nan,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,18.55,689.0,nan,0.0,306.0,995.0,0
9,3279-DYZQM,Female,32.0,No,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,3996-ZNWYK,nan,nan,nan,nan,Pacoima,97318,3.0,Q3,10.0,16.0,None,Yes,20.12,No,Yes,nan,30.0,Yes,Yes,No,Yes,No,Yes,nan,Yes,Two Year,No,Bank Withdrawal,68.25,1114.85,0.0,0.0,321.92,1436.77,0
11,0684-AOSIH,Female,21.0,Yes,2.0,nan,13386,nan,Q3,1.0,44.0,None,Yes,4.17,No,No,None,0.0,No,No,nan,No,No,No,nan,No,Month-to-Month,nan,Credit Card,19.6,780.25,0.0,0.0,183.48,963.73,nan
12,9500-LTVBP,Female,46.0,Yes,nan,Pacifica,nan,3.0,Q3,3.0,nan,None,Yes,25.09,Yes,Yes,nan,17.0,Yes,nan,Yes,No,Yes,Yes,Yes,nan,One Year,No,Bank Withdrawal,78.85,876.75,0.0,0.0,301.08,1177.83,0
